id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=1,,349,86,1081,328,44,.3563,,622.1,527,31,3.977,1.306,2.6,,6-6-0,19
teamId=8,,267,62,913,301,13,.3266,,648.0,643,24,3.264,1.168,3.6,,5-6-1,21
teamId=2,,336,97,1129,361,22,.3485,,714.0,659,21,3.567,1.195,2.9,,7-4-1,18
teamId=6,,350,74,1051,315,63,.3232,,628.0,550,15,3.683,1.221,3.3,,6-5-1,17
teamId=11,,289,60,886,279,4,.3385,,703.2,552,21,3.351,1.221,3,,4-7-1,22
teamId=5,,324,71,980,306,27,.3213,,580.0,567,22,3.833,1.290,3.1,,7-5-0,15
teamId=3,,318,74,986,290,37,.3177,,611.1,515,35,4.682,1.449,2,,6-6-0,14
teamId=10,,280,47,901,232,33,.3150,,493.0,426,23,4.418,1.410,2.2,,8-3-1,18
teamId=9,,316,60,992,279,20,.3276,,189.0,172,50,2.762,1.275,3.2,,5-7-0,2
teamId=7,,288,83,903,292,13,.3251,,258.1,218,2,4.425,1.359,2.6,,3-8-1,2
